TrackId,Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes,UnitPrice
14845455,Como Estais Amigos,14869359,16202480,4981771,D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore,682810,148317150,1.17
256476,Lady Double Dealer,6064977,6057734,4981771,Jimmy Page/John Bonham/John Paul Jones/Robert Plant/Willie Dixon,809834,132349991,1.17
6482504,Harvester Of Sorrow,16535187,14662086,4981771,,796449,102089860,1.17
10612422,For Those About To Rock (We Salute You),7762071,13207803,4981771,"Paul Stanley, Gene Simmons, B. Ezrin",917178,164349208,1.17
11506528,Proud Mary,7762071,13207803,4981771,J. C. Fogerty,823153,159519214,1.17
16304185,Innuendo,14725928,13207803,4981771,Jeremy Wall,749356,126306737,1.17
2675332,Wherever You May Go,7762071,13207803,4981771,Fayyaz Virgi/Richard Bull,1172790,110529279,1.17
6250037,Mercyful Fate,7762071,13207803,4981771,Richard Bull,1021445,151464647,1.17
14764147,Stairway To Heaven,1297273,13207803,4981771,Baden Powell/Vinicius de Moraes,1080884,137244219,1.17
13275805,Think About You,7762071,16035089,4981771,Bino/Da Gama/Ras Bernardo,969775,152315431,1.17
5092081,Koyaanisqatsi,7138936,6985747,4981771,,1084527,120704317,1.17
10047321,When The Levee Breaks,5945735,13207803,4981771,"Angus Young, Malcolm Young, Brian Johnson",958477,137972506,1.17
8621906,Valentino's,16742055,13207803,4981771,"Angus Young, Malcolm Young, Brian Johnson",647463,121330698,1.17
15944873,"Spanish moss-""A sound portrait""-Spanish moss",1721517,16202480,4981771,,1340723,120179916,1.17
1715079,Ashes To Ashes,9522392,13207803,4981771,Jagger/Richards,750900,115449779,1.17
13768534,The Pan Piper,2512910,14662086,4981771,"Steven Tyler, Richie Supa",520613,102300395,1.17
16067249,For Those About To Rock (We Salute You),9700520,13207803,4981771,,1157642,85092398,1.17
9185866,Shout It Out Loud,7762071,16202480,4981771,Chris Cornell,651990,146642712,1.17
16131798,Maracatu Atômico,8523337,6057734,4981771,Steve Harris,832405,116838579,1.17
387692,Victim Of Change (Live),7762071,16202480,4981771,Freddie Mercury,766389,110756119,1.17
15012918,The Frayed Ends Of Sanity,7762071,6985747,4981771,Clapton,1027057,116779735,1.17
2706533,Fly Me To The Moon,7199821,16202480,4981771,,759468,149774490,1.17
8686912,For Those About To Rock (We Salute You),12449150,13207803,4981771,,726922,111834204,1.17
