InvoiceLineId,InvoiceId,TrackId,UnitPrice,Quantity
11566865,14045080,14845455,1.07,1
4893515,4241280,256476,1.08,1
7269508,8238774,6482504,1.17,1
3823831,14144312,10612422,1.14,1
602696,1816697,11506528,1.15,1
6428519,3893348,14764147,1.36,1
11604793,14028563,5092081,1.26,1
4772846,12910069,8621906,1.1,1
234407,12441739,1715079,1.22,1
8811546,9380840,13768534,1.2,1
12240903,15183013,9185866,1.31,1
3901566,15078731,16131798,1.14,1
16187098,12495092,387692,1.14,1
8883208,8351774,2706533,1.17,1
9127807,12684278,8686912,1.02,1
7241123,4206321,10344327,1.22,1
6610557,7375960,2031256,1.08,1
13175591,2155312,10311733,1.11,1
7992521,7375960,9789812,1.23,1
14559564,13917905,16212812,1.3,1
10412370,7512648,3331835,1.27,1
404598,8387240,12057258,1.09,1
4875583,7720828,11061171,1.16,1
14270848,6705580,16015596,0.99,1
16460076,258938,16015596,0.99,1
10659697,6999764,1111796,0.99,1
4381244,11323384,1111796,0.99,1
8177690,12109375,3449940,0.99,1
8740615,2846047,3449940,0.99,1
712730,7375960,14433357,1.51,1
10672807,1720738,4653043,1.01,1
9222859,12535733,13443471,1.09,1
10394066,3664713,12130163,1.04,1
4690740,5152301,6020788,1.22,1
1955556,15029717,1510164,0.99,1
2776076,15398242,1510164,0.99,1
11594411,15469113,972187,0.99,1
13327546,1881421,972187,0.99,1
270809,14028563,156990,1.2,1
10005219,14450300,12746993,0.99,1
11978572,8869343,16298737,1.17,1
14787857,11632434,3681920,1.12,1
5569407,1873918,12737322,1.14,1
6482487,4949427,2981622,1.32,1
4840536,12684278,8953288,1.1,1
13576725,6211729,8048474,1.39,1
2900815,864999,8048474,1.39,1
9347607,16008982,5158243,1.13,1
2061652,4206321,3896651,1.18,1
12496073,1514913,11340066,1.18,1
12493660,14069778,13032641,1.13,1
16051742,8351774,13032641,1.13,1
11802953,1873918,9179572,1.14,1
11757910,1565437,12288841,1.11,1
8955954,5931549,12288841,1.11,1
3809280,11423627,4395689,1.15,1
4821648,9758944,10607119,1.01,1
7109660,15343798,11673133,1.27,1
5979980,12386710,10169462,1.16,1
4800768,4206321,10169462,1.16,1
8982221,8623740,5469519,1.18,1
1623082,7407781,10178715,1.1,1
12376235,9182085,14154257,1.1,1
657113,11270522,4984919,1.21,1
11771008,4956517,4984919,1.21,1
6789586,12414628,13226746,1.21,1
6005034,3873660,8401188,1.16,1
4830944,16188753,8401188,1.16,1
14039131,4906505,12235989,0.99,1
8227750,12095273,1500112,1.17,1
10206720,14045080,6015673,1.07,1
