PlaylistId,TrackId
8758419,14845455
11436480,14845455
15639629,256476
11436480,256476
2462096,6482504
8189607,6482504
314585,6482504
15257429,10612422
314585,10612422
314585,10612422
8189607,11506528
10129111,11506528
9168761,16304185
314585,16304185
4104879,2675332
4104879,2675332
3694231,6250037
8189607,6250037
8758419,14764147
10129111,14764147
6528739,13275805
15639629,13275805
10129111,5092081
3763925,5092081
9168761,10047321
2462096,10047321
11436480,8621906
15639629,8621906
9168761,15944873
314585,15944873
3694231,1715079
8189607,1715079
314585,13768534
11436480,13768534
314585,13768534
8189607,16067249
2462096,16067249
8758419,9185866
6528739,9185866
10129111,9185866
2462096,16131798
8189607,16131798
15639629,387692
314585,387692
15639629,387692
2462096,15012918
15686844,15012918
8189607,2706533
8758419,2706533
15686844,2706533
10129111,8686912
11436480,8686912
10129111,10344327
10129111,10344327
15686844,2031256
4104879,2031256
10129111,10311733
9168761,10311733
8189607,9789812
8189607,9789812
8189607,16212812
9168761,16212812
9168761,5761928
15686844,5761928
8189607,14424232
4104879,14424232
4104879,7612985
11436480,7612985
7429359,3331835
4104879,3331835
3694231,12057258
314585,12057258
9168761,12057258
9168761,11061171
11436480,11061171
4104879,11061171
11436480,9160659
15686844,9160659
314585,16015596
8189607,16015596
7429359,1111796
3694231,1111796
314585,1111796
314585,3449940
2462096,3449940
11436480,14433357
8189607,14433357
11436480,14433357
10129111,4653043
8189607,4653043
9168761,13443471
15686844,13443471
6545676,12130163
15639629,12130163
2462096,4980229
8189607,4980229
15639629,4980229
10129111,6020788
8758419,6020788
4104879,6020788
9168761,1510164
15639629,1510164
4104879,972187
6528739,972187
9168761,972187
2462096,6454423
8189607,6454423
2462096,6454423
9168761,156990
4104879,156990
9168761,16161227
11436480,16161227
314585,11777711
10129111,11777711
15686844,5505456
10129111,5505456
11436480,16598544
2462096,16598544
3694231,12746993
15686844,12746993
8758419,16298737
8189607,16298737
10129111,6549655
314585,6549655
3694231,3225558
8189607,3225558
10129111,12811769
15639629,12811769
15639629,12811769
314585,3681920
8189607,3681920
15639629,3681920
8758419,12737322
2462096,12737322
2462096,12737322
6528739,7517860
9168761,7517860
314585,7517860
6528739,2981622
11436480,2981622
3694231,2981622
11436480,8953288
8189607,8953288
